Date,Ticker,Investment_Value_Numeric
2024-10-30,HINDUNILVR.NS,113776.0
2024-10-31,HINDUNILVR.NS,112587.0
2024-11-01,HINDUNILVR.NS,112999.0
2024-11-04,HINDUNILVR.NS,112433.0
2024-11-05,HINDUNILVR.NS,112280.0
2024-11-06,HINDUNILVR.NS,111360.0
2024-11-07,HINDUNILVR.NS,110238.0
2024-11-08,HINDUNILVR.NS,111672.0
2024-11-11,HINDUNILVR.NS,110930.0
2024-11-12,HINDUNILVR.NS,109614.0
2024-11-13,HINDUNILVR.NS,109768.0
2024-11-14,HINDUNILVR.NS,106395.0
2024-11-18,HINDUNILVR.NS,107895.0
2024-11-19,HINDUNILVR.NS,107337.0
2024-11-21,HINDUNILVR.NS,106110.0
2024-11-22,HINDUNILVR.NS,108891.0
2024-11-25,HINDUNILVR.NS,110057.0
2024-11-26,HINDUNILVR.NS,110403.0
2024-11-27,HINDUNILVR.NS,110745.0
2024-11-28,HINDUNILVR.NS,109646.0
2024-11-29,HINDUNILVR.NS,111157.0
2024-12-02,HINDUNILVR.NS,110400.0
2024-12-03,HINDUNILVR.NS,110565.0
2024-12-04,HINDUNILVR.NS,109748.0
2024-12-05,HINDUNILVR.NS,111088.0
2024-12-06,HINDUNILVR.NS,110607.0
2024-12-09,HINDUNILVR.NS,106909.0
2024-12-10,HINDUNILVR.NS,106758.0
2024-12-11,HINDUNILVR.NS,106936.0
2024-12-12,HINDUNILVR.NS,104424.0
2024-12-13,HINDUNILVR.NS,106435.0
2024-12-16,HINDUNILVR.NS,105368.0
2024-12-17,HINDUNILVR.NS,105239.0
2024-12-18,HINDUNILVR.NS,105059.0
2024-12-19,HINDUNILVR.NS,105088.0
2024-12-20,HINDUNILVR.NS,103932.0
2024-12-23,HINDUNILVR.NS,104155.0
2024-12-24,HINDUNILVR.NS,104006.0
2024-12-26,HINDUNILVR.NS,103881.0
2024-12-27,HINDUNILVR.NS,104259.0
2024-12-30,HINDUNILVR.NS,104360.0
2024-12-31,HINDUNILVR.NS,103618.0
2025-01-01,HINDUNILVR.NS,103407.0
2025-01-02,HINDUNILVR.NS,105540.0
2025-01-03,HINDUNILVR.NS,107154.0
2025-01-06,HINDUNILVR.NS,105816.0
2025-01-07,HINDUNILVR.NS,106466.0
2025-01-08,HINDUNILVR.NS,106920.0
2025-01-09,HINDUNILVR.NS,108452.0
2025-01-10,HINDUNILVR.NS,108748.0
2025-01-13,HINDUNILVR.NS,109147.0
2025-01-14,HINDUNILVR.NS,105448.0
2025-01-15,HINDUNILVR.NS,105673.0
2025-01-16,HINDUNILVR.NS,104426.0
2025-01-17,HINDUNILVR.NS,104827.0
2025-01-20,HINDUNILVR.NS,104435.0
2025-01-21,HINDUNILVR.NS,104226.0
2025-01-22,HINDUNILVR.NS,104335.0
2025-01-23,HINDUNILVR.NS,103389.0
2025-01-24,HINDUNILVR.NS,105455.0
